物件名,住所,最寄り駅,賃料,間取り,面積
グラーサ銀座EAST（グラーサ銀座イースト）,東京都中央区入船３,['東京メトロ有楽町線/新富町駅 歩2分\n東京メトロ日比谷線/築地駅 歩4分\nＪＲ京葉線/八丁堀駅 歩5分'],10.1万円,,
ヴェルト日本橋,東京都中央区東日本橋１,['都営浅草線/東日本橋駅 歩2分\n都営新宿線/馬喰横山駅 歩3分\nＪＲ総武線快速/馬喰町駅 歩6分'],13.7万円,,
Brillia秋葉原,東京都千代田区外神田４,['東京メトロ銀座線/末広町駅 歩3分\nＪＲ山手線/秋葉原駅 歩8分\n東京メトロ日比谷線/仲御徒町駅 歩11分'],16.3万円,,
晴海フラッグパークヴィレッジC棟,東京都中央区晴海５,['都営大江戸線/勝どき駅 歩20分\n新交通ゆりかもめ/市場前駅 歩23分'],38.95万円,,
プロスタイル日本橋馬喰町,東京都中央区東日本橋３,['都営新宿線/馬喰横山駅 歩1分\nＪＲ総武線快速/馬喰町駅 歩4分\n都営浅草線/人形町駅 歩11分'],28.75万円,,
ルミエール堀留,東京都中央区日本橋堀留町１,['都営浅草線/人形町駅 歩5分\n東京メトロ日比谷線/小伝馬町駅 歩4分\n東京メトロ銀座線/三越前駅 歩10分'],9.2万円,,
ＣＯＮＦＯＲＴ月島,東京都中央区佃１,['東京メトロ有楽町線/月島駅 歩4分\nＪＲ京葉線/越中島駅 歩14分\n東京メトロ日比谷線/八丁堀駅 歩18分'],14.2万円,,
ＪＲ山手線 神田駅 12階建 築7年,東京都千代田区神田西福田町,['ＪＲ山手線/神田駅 歩5分\n東京メトロ日比谷線/秋葉原駅 歩9分\n東京メトロ半蔵門線/大手町駅 歩11分'],16.5万円,,
KDX岩本町レジデンス,東京都千代田区岩本町２,['都営新宿線/岩本町駅 歩4分\n東京メトロ日比谷線/秋葉原駅 歩6分\nＪＲ総武線快速/馬喰町駅 歩8分'],10.2万円,,
都営新宿線 市ケ谷駅 地下1地上6階建 築25年,東京都千代田区九段南４,['都営新宿線/市ケ谷駅 歩4分\n東京メトロ半蔵門線/半蔵門駅 歩9分\n東京メトロ有楽町線/麹町駅 歩11分'],11万円,,
東京メトロ日比谷線 人形町駅 4階建 築27年,東京都中央区日本橋小舟町,['東京メトロ日比谷線/人形町駅 歩7分\n東京メトロ銀座線/三越前駅 歩10分\n東京メトロ日比谷線/小伝馬町駅 歩8分'],39万円,,
ベレール日本橋兜町,東京都中央区日本橋兜町,['東京メトロ銀座線/日本橋駅 歩4分\n東京メトロ東西線/茅場町駅 歩3分\n東京メトロ日比谷線/八丁堀駅 歩7分'],10.2万円,,
都営大江戸線 勝どき駅 地下1地上52階建 築10年,東京都中央区晴海３,['都営大江戸線/勝どき駅 歩5分\n東京メトロ有楽町線/月島駅 歩18分\n新交通ゆりかもめ/市場前駅 歩20分'],38万円,,
紀尾井町ガーデンタワー,東京都千代田区紀尾井町,['東京メトロ有楽町線/麹町駅 歩2分\n東京メトロ半蔵門線/半蔵門駅 歩6分\n東京メトロ南北線/永田町駅 歩6分'],75万円,,
ParkCube銀座イースト　【パークキューブ銀座イースト】,東京都中央区湊３,['東京メトロ日比谷線/八丁堀駅 歩6分\n東京メトロ有楽町線/新富町駅 歩5分\n東京メトロ日比谷線/築地駅 歩8分'],17.2万円,,
東京メトロ日比谷線 築地駅 14階建 築26年,東京都中央区築地４,['東京メトロ日比谷線/築地駅 歩5分\n都営大江戸線/築地市場駅 歩7分\n東京メトロ有楽町線/新富町駅 歩9分'],21万円,,
ＪＲ中央線 水道橋駅 12階建 築12年,東京都千代田区神田三崎町２,['ＪＲ中央線/水道橋駅 歩3分\n東京メトロ半蔵門線/神保町駅 歩9分\n東京メトロ東西線/九段下駅 歩11分'],11.7万円,,
デイジーコート日本橋浜町,東京都中央区日本橋浜町３,['都営新宿線/浜町駅 歩4分\n東京メトロ半蔵門線/水天宮前駅 歩7分\n都営浅草線/人形町駅 歩11分'],10.5万円,,
都営新宿線 浜町駅 11階建 築18年,東京都中央区日本橋浜町３,['都営新宿線/浜町駅 歩4分\n東京メトロ半蔵門線/水天宮前駅 歩7分\n都営浅草線/人形町駅 歩11分'],10.5万円,,
【新築】ＣＴ１４９,東京都中央区佃１,['東京メトロ有楽町線/月島駅 歩4分\n都営大江戸線/月島駅 歩4分'],9.9万円,,
ＪＲ山手線 秋葉原駅 13階建 築4年,東京都千代田区東神田１,['ＪＲ山手線/秋葉原駅 歩9分\nＪＲ総武線快速/馬喰町駅 歩5分\n東京メトロ日比谷線/小伝馬町駅 歩5分'],21.8万円,,
ＣＡＭＥＬ築地I,東京都中央区築地２,['東京メトロ日比谷線/築地駅 歩1分\n東京メトロ日比谷線/東銀座駅 歩5分\n都営浅草線/東銀座駅 歩5分'],17.4万円,,
パークフロント淡路町,東京都千代田区神田淡路町２,['都営新宿線/小川町駅 歩3分\n東京メトロ丸ノ内線/淡路町駅 歩3分\nＪＲ中央線/御茶ノ水駅 歩5分'],13.5万円,,
東京メトロ半蔵門線 神保町駅 地下2地上10階建 築24年,東京都千代田区神田神保町２,['東京メトロ半蔵門線/神保町駅 歩4分\nＪＲ中央線/水道橋駅 歩7分\n東京メトロ東西線/九段下駅 歩8分'],16.5万円,,
神保町ハウス,東京都千代田区神田神保町２,['東京メトロ半蔵門線/神保町駅 歩4分\nＪＲ中央線/水道橋駅 歩7分\n東京メトロ東西線/九段下駅 歩8分'],16.5万円,,
都営新宿線 小川町駅 10階建 築12年,東京都千代田区神田淡路町２,['都営新宿線/小川町駅 歩3分\nＪＲ中央線/御茶ノ水駅 歩7分\n東京メトロ銀座線/神田駅 歩7分'],13.5万円,,
東京メトロ半蔵門線 神保町駅 13階建 築10年,東京都千代田区神田神保町１,['東京メトロ半蔵門線/神保町駅 歩3分\nＪＲ中央線/御茶ノ水駅 歩8分\n東京メトロ千代田線/新御茶ノ水駅 歩11分'],12.7万円,,
グランカーサ日本橋馬喰町,東京都中央区日本橋馬喰町２,['ＪＲ総武線快速/馬喰町駅 歩1分\n都営新宿線/岩本町駅 歩10分\n東京メトロ日比谷線/小伝馬町駅 歩11分'],14.1万円,,
ＪＲ総武線快速 馬喰町駅 15階建 築2年,東京都中央区日本橋馬喰町２,['ＪＲ総武線快速/馬喰町駅 歩5分\n都営新宿線/岩本町駅 歩10分\nＪＲ総武線/浅草橋駅 歩7分'],14.1万円,,
新交通ゆりかもめ 新橋駅 12階建 築5年,東京都中央区銀座８,['新交通ゆりかもめ/新橋駅 歩6分\n東京メトロ丸ノ内線/銀座駅 歩6分\n東京メトロ日比谷線/東銀座駅 歩6分'],25.5万円,,
都営新宿線 岩本町駅 11階建 築12年,東京都千代田区岩本町２,['都営新宿線/岩本町駅 歩5分\nＪＲ総武線快速/馬喰町駅 歩8分\n東京メトロ日比谷線/秋葉原駅 歩5分'],11.5万円,,
グリーンパーク日本橋横山町,東京都中央区日本橋横山町,['都営新宿線/馬喰横山駅 歩1分\nＪＲ総武線快速/馬喰町駅 歩4分\n都営浅草線/東日本橋駅 歩3分'],19万円,,
プレシス八丁堀リバーフロント,東京都中央区新川２,['ＪＲ京葉線/八丁堀駅 歩9分\n東京メトロ有楽町線/月島駅 歩14分\n東京メトロ日比谷線/茅場町駅 歩16分'],25.5万円,,
クレール東郷坂,東京都千代田区四番町,['都営新宿線/市ケ谷駅 歩4分\nＪＲ中央線/市ケ谷駅 歩6分\n東京メトロ半蔵門線/半蔵門駅 歩6分'],16万円,,
都営新宿線 浜町駅 13階建 築26年,東京都中央区日本橋浜町２,['都営新宿線/浜町駅 歩2分\n都営浅草線/東日本橋駅 歩8分\n東京メトロ日比谷線/人形町駅 歩9分'],14.5万円,,
ライオンズプラザ浜町公園,東京都中央区日本橋浜町２,['都営新宿線/浜町駅 歩2分\n都営新宿線/馬喰横山駅 歩8分\n東京メトロ日比谷線/人形町駅 歩9分'],14.5万円,,
カスタリア神保町,東京都千代田区神田神保町２,['東京メトロ半蔵門線/神保町駅 歩4分\n東京メトロ東西線/九段下駅 歩6分\n都営三田線/水道橋駅 歩9分'],12.8万円,,
東京メトロ半蔵門線 神保町駅 11階建 築21年,東京都千代田区神田神保町２,['東京メトロ半蔵門線/神保町駅 歩4分\n東京メトロ東西線/九段下駅 歩6分\n都営三田線/水道橋駅 歩9分'],12.8万円,,
PLAISIRIA人形町　【プレジリア人形町】,東京都中央区日本橋富沢町,['東京メトロ日比谷線/人形町駅 歩5分\nＪＲ総武線快速/馬喰町駅 歩7分\n都営新宿線/浜町駅 歩7分'],12.3万円,,
ガラ・ステーション岩本町South,東京都千代田区岩本町３,['ＪＲ山手線/秋葉原駅 歩6分\n都営新宿線/岩本町駅 歩2分\n東京メトロ銀座線/神田駅 歩7分'],10.4万円,,
東京メトロ日比谷線 築地駅 10階建 築14年,東京都中央区築地７,['東京メトロ日比谷線/築地駅 歩7分\n東京メトロ有楽町線/新富町駅 歩11分\n東京メトロ有楽町線/月島駅 歩18分'],18.5万円,,
ＪＲ山手線 新橋駅 14階建 築20年,東京都中央区銀座８,['ＪＲ山手線/新橋駅 歩6分\n都営大江戸線/汐留駅 歩8分\n東京メトロ日比谷線/東銀座駅 歩5分'],20.8万円,,
エスティメゾン神田,東京都千代田区神田多町２,['ＪＲ山手線/秋葉原駅 歩10分\nＪＲ山手線/神田駅 歩4分\nＪＲ総武線/御茶ノ水駅 歩8分'],10.3万円,,
アムス大手町,東京都千代田区内神田２,['東京メトロ半蔵門線/大手町駅 歩4分\nＪＲ山手線/神田駅 歩3分\nＪＲ総武線快速/新日本橋駅 歩8分'],13.4万円,,
スカイコート九段下,東京都千代田区飯田橋２,['東京メトロ東西線/九段下駅 歩4分\n都営新宿線/九段下駅 歩7分\n東京メトロ半蔵門線/九段下駅 歩7分'],9万円,,
東京メトロ東西線 九段下駅 12階建 築21年,東京都千代田区飯田橋２,['東京メトロ東西線/九段下駅 歩4分\n都営新宿線/九段下駅 歩7分\n東京メトロ半蔵門線/九段下駅 歩7分'],9万円,,
ヴァレッシア秋葉原シティ,東京都千代田区神田和泉町,['ＪＲ山手線/秋葉原駅 歩4分\n都営新宿線/岩本町駅 歩9分\n東京メトロ銀座線/末広町駅 歩10分'],9.8万円,,
東京メトロ日比谷線 小伝馬町駅 12階建 築12年,東京都中央区日本橋大伝馬町,['東京メトロ日比谷線/小伝馬町駅 歩3分\nＪＲ総武線快速/新日本橋駅 歩7分\n東京メトロ日比谷線/人形町駅 歩9分'],10.5万円,,
アクシア日本橋,東京都中央区日本橋浜町２,['都営新宿線/浜町駅 歩2分\n都営浅草線/人形町駅 歩5分\n東京メトロ日比谷線/人形町駅 歩5分'],16.7万円,,
ＪＲ中央線 飯田橋駅 地下2地上8階建 築17年,東京都千代田区富士見１,['ＪＲ中央線/飯田橋駅 歩5分\n東京メトロ東西線/九段下駅 歩8分\n都営大江戸線/飯田橋駅 歩8分'],39.5万円,,
富士見デュープレックスビズ,東京都千代田区富士見１,['ＪＲ中央線/飯田橋駅 歩5分\n東京メトロ東西線/飯田橋駅 歩5分\n東京メトロ東西線/九段下駅 歩8分'],39.5万円,,
ロイヤルコート日本橋人形町,東京都中央区日本橋蛎殻町１,['東京メトロ半蔵門線/水天宮前駅 歩3分\n都営浅草線/人形町駅 歩4分\n東京メトロ日比谷線/茅場町駅 歩7分'],13.8万円,,
東京メトロ日比谷線 人形町駅 10階建 築11年,東京都中央区日本橋蛎殻町１,['東京メトロ日比谷線/人形町駅 歩3分\n東京メトロ半蔵門線/水天宮前駅 歩3分\n東京メトロ東西線/茅場町駅 歩7分'],13.8万円,,
日本橋ＧＲＩＴ,東京都中央区日本橋小舟町,['東京メトロ半蔵門線/三越前駅 歩4分\nＪＲ総武線快速/新日本橋駅 歩4分'],18.8万円,,
パレ・ソレイユ東日本橋,東京都中央区東日本橋３,['都営新宿線/馬喰横山駅 歩1分\n都営浅草線/東日本橋駅 歩1分\nＪＲ総武線快速/馬喰町駅 歩4分'],14.5万円,,
都営浅草線 東日本橋駅 12階建 築20年,東京都中央区東日本橋３,['都営浅草線/東日本橋駅 歩1分\n都営新宿線/馬喰横山駅 歩1分\n東京メトロ日比谷線/小伝馬町駅 歩6分'],14.4万円,,
東京メトロ銀座線 末広町駅 10階建 築13年,東京都千代田区外神田４,['東京メトロ銀座線/末広町駅 歩3分\nＪＲ山手線/秋葉原駅 歩7分\n東京メトロ千代田線/湯島駅 歩13分'],9.1万円,,
都営浅草線 東日本橋駅 12階建 築20年,東京都中央区東日本橋３,['都営浅草線/東日本橋駅 歩1分\n都営新宿線/馬喰横山駅 歩1分\n東京メトロ日比谷線/小伝馬町駅 歩6分'],14.4万円,,
東京メトロ半蔵門線 半蔵門駅 11階建 築3年,東京都千代田区一番町,['東京メトロ半蔵門線/半蔵門駅 歩2分\n東京メトロ有楽町線/麹町駅 歩7分\n東京メトロ南北線/市ケ谷駅 歩8分'],29.8万円,,
ガレリア・マーレ日本橋,東京都中央区日本橋１,['都営浅草線/東日本橋駅 歩4分\n都営新宿線/馬喰横山駅 歩5分\n東京メトロ日比谷線/人形町駅 歩11分'],13万円,,
ＪＲ山手線 神田駅 地下1地上13階建 築21年,東京都千代田区神田多町２,['ＪＲ山手線/神田駅 歩4分\n東京メトロ丸ノ内線/淡路町駅 歩2分\nつくばエクスプレス/秋葉原駅 歩9分'],10万円,,
Ｌｉａｉｓｏｎ銀座一丁目,東京都中央区銀座１,['東京メトロ有楽町線/銀座一丁目駅 歩5分\n東京メトロ有楽町線/新富町駅 歩4分'],13.5万円,,
東京メトロ有楽町線 銀座一丁目駅 10階建 築13年,東京都中央区銀座１,['東京メトロ有楽町線/銀座一丁目駅 歩5分\n東京メトロ日比谷線/銀座駅 歩8分\n都営浅草線/東銀座駅 歩5分'],13.5万円,,
アルテシモポルト,東京都中央区入船２,['東京メトロ有楽町線/新富町駅 歩3分\n東京メトロ日比谷線/八丁堀駅 歩3分\n東京メトロ日比谷線/築地駅 歩7分'],13万円,,
東京メトロ日比谷線 八丁堀駅 12階建 築9年,東京都中央区入船２,['東京メトロ日比谷線/八丁堀駅 歩3分\n東京メトロ有楽町線/新富町駅 歩3分\n東京メトロ銀座線/京橋駅 歩12分'],13万円,,
エスペランサ神田神保町,東京都千代田区神田神保町１,['都営三田線/神保町駅 歩3分\n都営三田線/水道橋駅 歩9分\n東京メトロ東西線/九段下駅 歩12分'],14万円,,
日商岩井日本橋浜町マンション,東京都中央区日本橋中洲,['東京メトロ半蔵門線/水天宮前駅 歩5分\n東京メトロ日比谷線/人形町駅 歩8分\n都営新宿線/浜町駅 歩9分'],11万円,,
東京メトロ東西線 竹橋駅 9階建 築10年,東京都千代田区神田錦町２,['東京メトロ東西線/竹橋駅 歩5分\n東京メトロ丸ノ内線/大手町駅 歩5分\nＪＲ山手線/神田駅 歩10分'],14.4万円,,
アーバイル新日本橋,東京都中央区日本橋本町４,['東京メトロ日比谷線/小伝馬町駅 歩2分\nＪＲ総武線快速/新日本橋駅 歩3分\n東京メトロ銀座線/三越前駅 歩6分'],10.9万円,,
パレロワイヤル六番町,東京都千代田区六番町,['ＪＲ中央線/四ツ谷駅 歩5分\nＪＲ総武線/市ケ谷駅 歩6分\n東京メトロ丸ノ内線/四ツ谷駅 歩7分'],18.2万円,,
クオリア銀座三丁目,東京都中央区銀座３,['東京メトロ日比谷線/東銀座駅 歩4分\n都営浅草線/東銀座駅 歩4分\n東京メトロ日比谷線/銀座駅 歩7分'],13.5万円,,
都営新宿線 馬喰横山駅 10階建 築21年,東京都中央区日本橋富沢町,['都営新宿線/馬喰横山駅 歩4分\n東京メトロ日比谷線/人形町駅 歩6分\n東京メトロ日比谷線/小伝馬町駅 歩6分'],13.7万円,,
Ｄａｉｗａ　リバーゲートレジデンス　南ウイング,東京都中央区日本橋箱崎町,['東京メトロ半蔵門線/水天宮前駅 歩3分\n東京メトロ日比谷線/茅場町駅 歩12分\n都営浅草線/人形町駅 歩11分'],28.7万円,,
ブランミュール,東京都千代田区鍛冶町１,['ＪＲ山手線/神田駅 歩4分\nＪＲ総武線快速/新日本橋駅 歩4分\nＪＲ中央線/神田駅 歩5分'],9.3万円,,
